CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2017-18,2018,16,18-49 yr,29.7,0.3
Entire Network,FluSurv-NET,2017-18,2018,17,18-49 yr,30,0.3
Entire Network,FluSurv-NET,2017-18,2017,40,50-64 yr,0.1,0.1
Entire Network,FluSurv-NET,2017-18,2017,41,50-64 yr,0.3,0.1
Entire Network,FluSurv-NET,2017-18,2017,42,50-64 yr,0.5,0.2
Entire Network,FluSurv-NET,2017-18,2017,43,50-64 yr,0.8,0.3
Entire Network,FluSurv-NET,2017-18,2017,44,50-64 yr,1.1,0.3
Entire Network,FluSurv-NET,2017-18,2017,45,50-64 yr,1.6,0.5
Entire Network,FluSurv-NET,2017-18,2017,46,50-64 yr,2.1,0.5
Entire Network,FluSurv-NET,2017-18,2017,47,50-64 yr,2.9,0.9
Entire Network,FluSurv-NET,2017-18,2017,48,50-64 yr,4,1
Entire Network,FluSurv-NET,2017-18,2017,49,50-64 yr,5.3,1.3
Entire Network,FluSurv-NET,2017-18,2017,50,50-64 yr,8,2.7
Entire Network,FluSurv-NET,2017-18,2017,51,50-64 yr,13.7,5.7
Entire Network,FluSurv-NET,2017-18,2017,52,50-64 yr,21.8,8.1
Entire Network,FluSurv-NET,2017-18,2018,1,50-64 yr,33.1,11.3
Entire Network,FluSurv-NET,2017-18,2018,2,50-64 yr,43.7,10.6
Entire Network,FluSurv-NET,2017-18,2018,3,50-64 yr,53,9.3
Entire Network,FluSurv-NET,2017-18,2018,4,50-64 yr,61.9,8.9
Entire Network,FluSurv-NET,2017-18,2018,5,50-64 yr,70.3,8.4
Entire Network,FluSurv-NET,2017-18,2018,6,50-64 yr,78.9,8.5
Entire Network,FluSurv-NET,2017-18,2018,7,50-64 yr,86.2,7.3
Entire Network,FluSurv-NET,2017-18,2018,8,50-64 yr,91.8,5.6
Entire Network,FluSurv-NET,2017-18,2018,9,50-64 yr,95.9,4.1
Entire Network,FluSurv-NET,2017-18,2018,10,50-64 yr,98.9,3
Entire Network,FluSurv-NET,2017-18,2018,11,50-64 yr,101.8,2.9
Entire Network,FluSurv-NET,2017-18,2018,12,50-64 yr,104.3,2.5
Entire Network,FluSurv-NET,2017-18,2018,13,50-64 yr,106.7,2.4
Entire Network,FluSurv-NET,2017-18,2018,14,50-64 yr,109,2.3
Entire Network,FluSurv-NET,2017-18,2018,15,50-64 yr,110.8,1.7
Entire Network,FluSurv-NET,2017-18,2018,16,50-64 yr,111.9,1.2
Entire Network,FluSurv-NET,2017-18,2018,17,50-64 yr,112.8,0.9
Entire Network,FluSurv-NET,2017-18,2017,40,65+ yr,0.4,0.4
Entire Network,FluSurv-NET,2017-18,2017,41,65+ yr,0.9,0.5
Entire Network,FluSurv-NET,2017-18,2017,42,65+ yr,2,1.1
Entire Network,FluSurv-NET,2017-18,2017,43,65+ yr,2.8,0.9
Entire Network,FluSurv-NET,2017-18,2017,44,65+ yr,3.7,0.9
Entire Network,FluSurv-NET,2017-18,2017,45,65+ yr,4.9,1.2
Entire Network,FluSurv-NET,2017-18,2017,46,65+ yr,6.5,1.6
Entire Network,FluSurv-NET,2017-18,2017,47,65+ yr,9.4,2.8
Entire Network,FluSurv-NET,2017-18,2017,48,65+ yr,14.3,4.9
Entire Network,FluSurv-NET,2017-18,2017,49,65+ yr,20,5.7
Entire Network,FluSurv-NET,2017-18,2017,50,65+ yr,29.4,9.3
Entire Network,FluSurv-NET,2017-18,2017,51,65+ yr,48.7,19.4
Entire Network,FluSurv-NET,2017-18,2017,52,65+ yr,86.8,38.1
Entire Network,FluSurv-NET,2017-18,2018,1,65+ yr,134.6,47.8
Entire Network,FluSurv-NET,2017-18,2018,2,65+ yr,177.4,42.8
Entire Network,FluSurv-NET,2017-18,2018,3,65+ yr,216.7,39.3
Entire Network,FluSurv-NET,2017-18,2018,4,65+ yr,253,36.3
Entire Network,FluSurv-NET,2017-18,2018,5,65+ yr,284.6,31.6
Entire Network,FluSurv-NET,2017-18,2018,6,65+ yr,310.7,26.2
Entire Network,FluSurv-NET,2017-18,2018,7,65+ yr,336,25.3
Entire Network,FluSurv-NET,2017-18,2018,8,65+ yr,357.7,21.7
Entire Network,FluSurv-NET,2017-18,2018,9,65+ yr,372.7,14.9
Entire Network,FluSurv-NET,2017-18,2018,10,65+ yr,384.4,11.8
Entire Network,FluSurv-NET,2017-18,2018,11,65+ yr,396.8,12.4
Entire Network,FluSurv-NET,2017-18,2018,12,65+ yr,405.7,8.9
Entire Network,FluSurv-NET,2017-18,2018,13,65+ yr,415.2,9.5
Entire Network,FluSurv-NET,2017-18,2018,14,65+ yr,423.2,7.9
Entire Network,FluSurv-NET,2017-18,2018,15,65+ yr,428.9,5.8
Entire Network,FluSurv-NET,2017-18,2018,16,65+ yr,433.3,4.3
Entire Network,FluSurv-NET,2017-18,2018,17,65+ yr,437.2,4
